Resultados do Experimento - Variação de Elitismo:
Tamanho da população: 40, Limite de gerações: 100, Taxa de mutação: 0.2, Tamanho do torneio: 5

Resultados para Elitismo: simpleElitism
Execução 1: Fitness = 16062
Execução 2: Fitness = 12066
Execução 3: Fitness = 9780
Execução 4: Fitness = 12398
Execução 5: Fitness = 15010
Execução 6: Fitness = 16146
Execução 7: Fitness = 9384
Execução 8: Fitness = 12138
Execução 9: Fitness = 12948
Execução 10: Fitness = 13298
Execução 11: Fitness = 11984
Execução 12: Fitness = 13538
Execução 13: Fitness = 16092
Execução 14: Fitness = 12480
Execução 15: Fitness = 12106
Execução 16: Fitness = 15198
Execução 17: Fitness = 10102
Execução 18: Fitness = 14768
Execução 19: Fitness = 12738
Execução 20: Fitness = 11860
Média do fitness: 13004.8

Resultados para Elitismo: elitismWithDiversity
Execução 1: Fitness = 14908
Execução 2: Fitness = 15530
Execução 3: Fitness = 13648
Execução 4: Fitness = 13070
Execução 5: Fitness = 15464
Execução 6: Fitness = 16038
Execução 7: Fitness = 14622
Execução 8: Fitness = 13270
Execução 9: Fitness = 13836
Execução 10: Fitness = 14346
Execução 11: Fitness = 15248
Execução 12: Fitness = 11480
Execução 13: Fitness = 12884
Execução 14: Fitness = 12244
Execução 15: Fitness = 14398
Execução 16: Fitness = 16558
Execução 17: Fitness = 9852
Execução 18: Fitness = 11002
Execução 19: Fitness = 15242
Execução 20: Fitness = 13910
Média do fitness: 13877.5
